City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Lagoa,PT,2021-03-29 18:15:36,39.05,-27.9833,58.73,81,100,16.75
95,Touros,BR,2021-03-29 18:15:37,-5.1989,-35.4608,86.0,66,40,16.11
96,Pimentel,PE,2021-03-29 18:15:37,-6.8367,-79.9342,80.6,57,0,14.97
97,Felsotarkany,HU,2021-03-29 18:15:37,47.9667,20.4167,49.71,60,100,2.53
98,Havre-Saint-Pierre,CA,2021-03-29 18:15:38,50.2334,-63.5986,33.8,93,90,10.36
99,Abay,KZ,2021-03-29 18:15:38,49.6311,72.8539,21.2,86,0,13.42
100,Longyearbyen,SJ,2021-03-29 18:15:38,78.2186,15.6401,28.4,69,75,21.85
101,Niteroi,BR,2021-03-29 18:15:39,-22.8833,-43.1036,91.4,74,20,14.97
102,Rundu,NA,2021-03-29 18:15:40,-17.9333,19.7667,71.22,53,63,6.13
103,Port Elizabeth,ZA,2021-03-29 18:15:01,-33.918,25.5701,66.2,88,40,12.66
104,Nioki,CD,2021-03-29 18:15:41,-2.7167,17.6833,70.32,87,98,3.29
105,Denizli,TR,2021-03-29 18:15:41,37.8402,29.0698,50.0,57,40,25.32
106,Itarema,BR,2021-03-29 18:15:42,-2.9248,-39.9167,84.04,67,37,9.71
107,Goderich,CA,2021-03-29 18:15:42,43.7501,-81.7165,33.8,60,77,8.05
108,Gat,IL,2021-03-29 18:15:43,31.61,34.7642,57.99,22,3,9.75
109,Annonay,FR,2021-03-29 18:15:43,45.2397,4.6708,66.2,45,0,6.91
110,Iguape,BR,2021-03-29 18:15:44,-24.7081,-47.5553,82.99,72,10,9.37
111,Syasstroy,RU,2021-03-29 18:15:44,60.1367,32.5691,38.39,89,65,16.98
112,Qaqortoq,GL,2021-03-29 18:15:44,60.7167,-46.0333,28.4,43,20,3.44
113,Contamana,PE,2021-03-29 18:15:45,-7.3333,-75.0167,74.39,97,100,2.77
114,Bassila,BJ,2021-03-29 18:15:45,9.0081,1.6654,90.36,16,2,3.44
115,Marawi,PH,2021-03-29 18:15:46,7.9986,124.2928,77.0,90,100,5.01
116,Tutoia,BR,2021-03-29 18:15:46,-2.7619,-42.2744,87.8,70,40,11.5
117,Narsaq,GL,2021-03-29 18:15:46,60.9167,-46.05,28.4,43,20,3.44
118,Hobyo,SO,2021-03-29 18:15:47,5.3505,48.5268,81.14,72,87,10.94
119,Porto Walter,BR,2021-03-29 18:15:47,-8.2686,-72.7439,75.72,96,100,1.54
120,Paramonga,PE,2021-03-29 18:15:48,-10.6667,-77.8333,74.28,74,55,9.44
121,Sinnamary,GF,2021-03-29 18:15:49,5.3833,-52.95,80.56,80,82,13.98
122,Marrakesh,MA,2021-03-29 18:14:04,31.6315,-8.0083,78.8,34,75,4.61
123,Luga,RU,2021-03-29 18:15:53,58.7372,29.8453,43.34,63,54,11.86
124,Clyde River,CA,2021-03-29 18:15:54,70.4692,-68.5914,-2.2,78,75,6.91
125,Dunda,TZ,2021-03-29 18:15:55,-8.1167,34.25,65.46,89,67,3.31
126,Harboore,DK,2021-03-29 18:15:55,56.6175,8.1807,48.99,3,87,5.01
127,Raska,RS,2021-03-29 18:15:55,43.2872,20.6153,53.6,43,0,3.44
128,Sisimiut,GL,2021-03-29 18:15:56,66.9395,-53.6735,17.13,62,100,12.01
129,Iquitos,PE,2021-03-29 18:15:56,-3.7481,-73.2472,78.8,89,40,2.3
