,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
123,Hvide Sande,DK,56.0045,8.1294,46.0,58,52,8.61,broken clouds
124,Bara,NG,10.3744,10.7288,96.8,20,0,12.66,clear sky
125,Portobelo,PA,9.55,-79.65,90.0,79,99,37.0,overcast clouds
126,Port Alfred,ZA,-33.5906,26.891,68.86,85,18,8.48,few clouds
127,Coquimbo,CL,-29.9533,-71.3436,60.8,82,75,8.05,broken clouds
128,Bathsheba,BB,13.2167,-59.5167,84.2,58,20,11.5,few clouds
129,Torbay,CA,47.6666,-52.7314,36.0,93,90,17.27,overcast clouds
130,Atar,MR,20.5169,-13.0499,96.37,11,56,14.0,broken clouds
131,Mizque,BO,-17.941,-65.3402,74.68,49,39,6.26,scattered clouds
132,Arlit,NE,18.7369,7.3853,100.36,4,0,1.79,clear sky
133,Hofn,IS,64.2539,-15.2082,48.2,81,20,14.97,few clouds
134,Aras,ES,42.5617,-2.356,66.2,32,40,8.05,scattered clouds
135,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,5.75,scattered clouds
136,Beyneu,KZ,45.3167,55.2,65.77,23,37,15.12,scattered clouds
137,San Luis,AR,-33.295,-66.3356,76.6,39,0,10.92,clear sky
138,Chikmagalur,IN,13.3167,75.7833,69.73,77,77,4.16,light rain
139,Qasigiannguit,GL,68.8193,-51.1922,19.4,68,75,16.11,broken clouds
140,Acarau,BR,-2.8856,-40.12,85.26,67,75,14.61,broken clouds
141,Passo De Camaragibe,BR,-9.2368,-35.4901,77.0,94,75,6.91,light rain
142,Janakpur,NP,26.7183,85.9065,86.27,10,47,3.62,scattered clouds
143,Khandbari,NP,27.3747,87.2039,70.3,22,28,5.3,scattered clouds
144,Vredendal,ZA,-31.6683,18.5012,88.95,16,21,12.33,few clouds
145,Maues,BR,-3.3836,-57.7186,85.87,71,81,4.34,broken clouds
146,Stulovo,RU,58.7225,50.1439,42.35,93,22,6.46,few clouds
147,Carnarvon,AU,-24.8667,113.6333,74.95,39,0,21.77,clear sky
148,Marathon,US,44.9,-89.7668,37.4,65,90,8.05,overcast clouds
149,Copacabana,CO,6.3463,-75.5089,71.6,60,90,9.22,heavy intensity rain
150,Matay,EG,28.419,30.7792,77.27,18,56,10.47,broken clouds
151,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,20,16.11,few clouds
152,Am Timan,TD,11.0297,20.2827,95.23,6,51,5.53,broken clouds
153,Mitsamiouli,KM,-11.3847,43.2844,80.58,78,97,9.35,overcast clouds
154,Taoudenni,ML,22.6783,-3.9836,103.08,9,64,13.47,broken clouds
155,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.8,89,90,2.3,light rain
156,Huaraz,PE,-9.5333,-77.5333,64.26,54,72,1.99,light rain
157,Bilma,NE,18.6853,12.9164,96.58,5,0,8.66,clear sky
158,Usinsk,RU,65.9939,57.5281,41.63,99,100,16.13,overcast clouds
159,Amsterdam,NL,52.374,4.8897,46.99,53,20,12.66,few clouds
160,Hamilton,US,39.1834,-84.5333,59.0,58,75,8.05,broken clouds
161,Qeshm,IR,26.9581,56.2719,87.8,48,100,9.22,overcast clouds
162,Itarema,BR,-2.9248,-39.9167,85.62,66,85,13.71,overcast clouds
163,Margate,GB,51.3813,1.3862,45.0,62,6,4.0,clear sky
164,Levokumskoye,RU,44.8219,44.6606,54.25,70,100,9.48,light rain
165,Le Moule,GP,16.3332,-61.3473,87.8,66,0,8.05,clear sky
166,Otanche,CO,5.6567,-74.1825,82.53,57,100,3.44,overcast clouds
167,Port Hawkesbury,CA,45.6169,-61.3485,43.0,65,90,10.36,light rain
168,Georgetown,MY,5.4112,100.3354,81.0,88,40,1.14,scattered clouds
169,Porto Novo,BJ,6.4965,2.6036,87.8,70,20,13.8,few clouds
170,Tuni,IN,17.35,82.55,79.41,71,99,7.99,overcast clouds
171,Lebu,CL,-37.6167,-73.65,62.35,79,8,6.69,clear sky
172,Mar Del Plata,AR,-38.0023,-57.5575,73.4,53,20,14.97,few clouds
173,Puerto Del Rosario,ES,28.5004,-13.8627,77.0,53,40,13.8,scattered clouds
174,Irara,BR,-12.05,-38.7667,89.1,35,33,13.73,scattered clouds
175,Lugovskoy,RU,56.9585,64.529,53.6,58,0,8.95,clear sky
176,Unai,BR,-16.3575,-46.9061,84.36,41,69,4.14,broken clouds
177,Americus,US,32.0724,-84.2327,84.2,24,1,5.75,clear sky
178,Yar-Sale,RU,66.8333,70.8333,35.26,99,100,19.35,overcast clouds
179,Manali,IN,13.1667,80.2667,82.4,78,40,2.3,light rain
180,Wenchi,GH,7.7392,-2.1046,87.71,42,86,4.65,overcast clouds
181,Souillac,MU,-20.5167,57.5167,78.8,78,40,5.75,scattered clouds
182,Mayumba,GA,-3.432,10.6554,82.31,78,96,5.44,overcast clouds
183,Ibipeba,BR,-11.6408,-42.0111,94.08,24,75,2.01,broken clouds
184,San Cristobal,VE,7.7669,-72.225,87.8,58,40,4.61,scattered clouds
185,Codrington,AU,-38.2667,141.9667,54.61,75,72,11.54,broken clouds
186,San Nicolas,PH,18.1725,120.5953,79.03,76,76,5.19,broken clouds
187,Narsaq,GL,60.9167,-46.05,39.2,70,20,6.91,fog
188,Rio Gallegos,AR,-51.6226,-69.2181,59.0,20,20,20.71,few clouds
189,Markivka,UA,49.5229,39.5705,56.59,54,100,8.19,overcast clouds
190,Jam Sahib,PK,26.2958,68.6292,84.2,51,79,4.61,haze
191,Calahorra,ES,42.3051,-1.9652,69.8,32,40,8.05,scattered clouds
192,Santa Fe,AR,-31.6333,-60.7,81.0,47,2,8.01,clear sky
193,Iracoubo,GF,5.4802,-53.2011,83.3,71,67,11.43,broken clouds
194,Palencia,ES,42.4167,-4.5,63.0,42,59,10.0,broken clouds
195,Sabha,LY,27.0377,14.4283,84.97,14,38,11.95,scattered clouds
196,Alta Floresta,BR,-9.8756,-56.0861,80.6,94,40,5.75,scattered clouds
197,Abu Kamal,SY,34.4506,40.9171,68.11,19,20,6.53,few clouds
198,Bonfim,BR,3.0833,-59.95,86.47,60,99,5.41,overcast clouds
199,Quatre Cocos,MU,-20.2078,57.7625,79.0,78,40,5.75,scattered clouds
200,Thyboron,DK,56.6985,8.2124,48.0,59,44,1.01,scattered clouds
201,Alghero,IT,40.5589,8.3181,60.8,48,0,8.05,clear sky
202,Kenscoff,HT,18.4506,-72.2869,87.8,58,20,11.5,few clouds
203,Bilaspur,IN,22.0833,82.15,80.06,35,63,9.31,broken clouds
204,Castro,BR,-24.7911,-50.0119,69.76,51,100,6.46,overcast clouds
205,Kallithea,GR,37.95,23.7,64.99,58,100,1.01,overcast clouds
206,Hithadhoo,MV,-0.6,73.0833,83.07,63,86,4.74,overcast clouds
207,Lokosovo,RU,61.1333,74.8167,35.47,99,100,5.66,overcast clouds
208,Paamiut,GL,61.994,-49.6678,32.36,98,95,11.39,overcast clouds
209,Khorol,UA,49.7837,33.2783,50.9,79,100,2.13,overcast clouds
210,Hyeres,FR,43.1167,6.1167,57.2,67,0,11.5,clear sky
