City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
221,Cidreira,BR,73.72,clear sky,-30.1811,-50.2056,Hotel Castelo
234,Matara,LK,78.64,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
235,Tres Arroyos,AR,71.96,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
240,Rock Sound,BS,72.36,clear sky,24.9,-76.2,Rock Sound Club
245,Dingle,PH,77.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
251,Weligama,LK,79.21,overcast clouds,5.9667,80.4167,Weligama Bay Resort
256,Kuruman,ZA,73.0,scattered clouds,-27.4524,23.4325,Cornerstone Guest House
257,Sechura,PE,78.89,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
265,Asosa,ET,76.5,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
273,Cap Malheureux,MU,79.0,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
278,Shimoni,KE,79.99,light rain,-4.6476,39.3817,Shimoni Reef Lodge
282,Beira,MZ,78.8,few clouds,-19.8436,34.8389,Beira Terrace Hotel
283,Young,UY,75.99,clear sky,-32.6833,-57.6333,Posada Gira el Sol
284,Pergamino,AR,77.0,clear sky,-33.89,-60.5736,Hotel Fachinat
291,Darab,IR,71.6,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
292,Antofagasta,CL,73.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
296,Azul,AR,72.0,clear sky,-36.777,-59.8585,Cabañas Dulcinea
304,Maldonado,UY,75.2,few clouds,-34.6667,-54.9167,La Cimarrona
312,Brits,ZA,75.2,clear sky,-25.6347,27.7802,By Die Vlei
313,Gazanjyk,TM,73.94,broken clouds,39.2446,55.5154,Railway motel
320,Bure,ET,70.03,overcast clouds,10.7,37.0667,Holiday
322,General Pico,AR,72.66,clear sky,-35.6566,-63.7568,Hotel Malargue
330,Richards Bay,ZA,73.8,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
337,Sucua,EC,75.2,light rain,-2.4667,-78.1667,Hotel Orellana
